,IP,Reliability,Risk,Type,Country,Locale,Coords
9234,66.2.49.79,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9235,66.2.49.78,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9236,66.2.49.44,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9237,66.2.49.77,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9238,66.2.49.116,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9239,66.2.49.74,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9240,66.2.49.76,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9241,66.2.49.72,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9242,66.2.49.71,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9243,66.2.49.70,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9244,66.2.49.69,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9245,66.2.49.67,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9246,66.2.49.75,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9247,66.2.49.65,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9248,66.2.49.73,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9249,66.2.49.115,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9250,66.2.49.62,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9251,66.2.49.61,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9252,66.2.49.60,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9253,66.2.49.59,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9254,66.2.49.58,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9255,66.2.49.57,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9256,66.2.49.56,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9257,66.2.49.51,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9258,66.2.49.68,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9259,66.2.49.66,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9260,66.2.49.164,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9261,66.2.49.235,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9262,66.2.49.249,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9263,1.93.5.0,4,2,Scanning Host,cn,Beijing,"39.9289016724,116.388298035"
9264,24.151.228.240,4,3,Malware IP,us,Morristown,"36.2140007019,-83.2948989868"
9265,5.135.36.228,6,3,Spamming,fr,,"46.0,2.0"
9266,209.68.32.176,3,2,Malware IP,us,Pittsburgh,"40.4530982971,-79.929397583"
9267,98.30.2.250,4,4,Malware IP,us,Findlay,"41.0220985413,-83.6789016724"
9268,36.237.167.231,1,3,Malware IP,tw,,"23.5,121.0"
9269,213.174.130.176,4,2,Malware IP,us,Ashburn,"39.0437011719,-77.4875030518"
9270,84.45.55.11,10,2,Malware Domain,gb,,"51.5,-0.129999995232"
9271,66.197.252.2,6,3,Spamming,us,Scranton,"41.4090003967,-75.662399292"
9272,64.191.14.213,6,3,Spamming,us,Scranton,"41.4090003967,-75.662399292"
9273,64.191.14.214,6,3,Spamming,us,Scranton,"41.4090003967,-75.662399292"
9274,66.197.164.73,6,3,Spamming,us,Scranton,"41.4090003967,-75.662399292"
9275,66.110.133.54,4,4,Malware IP,ca,Rimouski,"48.4333000183,-68.5167007446"
9276,66.197.252.3,6,3,Spamming,us,Scranton,"41.4090003967,-75.662399292"
9277,62.212.67.211,4,3,Malicious Host,nl,Amsterdam,"52.3499984741,4.91669988632"
